school_name,campus_location,program_name,program_cost,java,csharp_net,html,css,javascript,es6,jquery,nodejs,reactjs,redux,heroku,sql,mysql,postgress,mongodb,firebase,git,spring,api,applied_stats,python,r,regression,classification,clustering,time_series_analysis,anomaly_detection,language_processing,machine_learning,advanced_topics,story_telling_with_data,domain_expertise_development,reporting_start,reporting_end,course_length,graduates_included,graduated_ontime,intend_infield_employment,employed_infield_90days,employed_infield_180days,not_seeking_infield_90days,not_seeking_infield_180days,still_seeking_infield_90days,still_seeking_infield_180days,median_annual_salary90days,median_annual_salary180days,under70K_90days,under70K_180days,salary_70K_80K_90days,salary_70K_80K_180days,salary_80K_90K_90days,salary_80K_90K_180days,over90K_90days,over90K_180days,state
Tech Elevator,Pittsburgh,Full-Stack Software Development,16500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,95.0,100,95.2,100.0,84.0,91.0,3.0,3.0,10.0,3.0,66250.0,65000.0,26.2,71.5,44.0,25.3,26.2,3.2,3.6,0.0,Pennsylvania
Turing School of Software and Design,Online,Back End Engineering,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/1/2021,12/31/2021,220.0,47,48.1,100.0,55.4,78.6,0.0,0.0,39.3,16.1,88680.0,86500.0,0.0,0.0,13.3,16.3,36.7,32.6,50.0,51.2,Online
The Tech Academy,Online,Python Developer BootCamp,9540.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,280.0,16,78.3,100.0,56.3,68.8,0.0,0.0,31.3,18.8,0.0,52000.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Online
The Tech Academy,Online,C# and .NET Boot Camp,9540.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,280.0,33,57.1,97.1,51.5,60.6,12.1,15.2,21.2,9.1,37440.0,55000.0,53.9,53.3,0.0,0.0,46.2,46.7,0.0,0.0,Online
Tech Elevator,Philadelphia,Full-Stack Software Development,16500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,95.0,23,88.5,100.0,69.6,91.3,0.0,0.0,21.7,0.0,74500.0,75000.0,31.3,33.3,37.5,28.6,25.0,28.6,6.2,9.5,Pennsylvania
Turing School of Software and Design,Online,Front End Engineering,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/1/2021,12/31/2021,220.0,59,74.4,100.0,72.3,84.6,1.5,1.5,24.6,12.3,82500.0,80000.0,20.8,21.4,18.8,17.9,29.2,30.4,31.3,30.4,Online
Juno College of Technology,Toronto,Web Development Immersive,2000.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,77.0,123,94.0,100.0,59.3,79.7,1.6,2.4,39.0,17.9,56160.0,56160.0,77.7,78.7,9.7,9.7,2.8,2.9,9.7,8.7,Canada
The Tech Academy,Online,Software Developer BootCamp,9540.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,280.0,55,59.1,96.5,52.7,63.6,5.5,5.5,34.5,23.6,0.0,57500.0,72.2,65.4,5.6,7.7,16.7,15.4,5.6,11.5,Online
The Tech Academy,Online,Software Developer BootCamp,9540.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,280.0,55,59.1,96.5,52.7,63.6,5.5,5.5,34.5,23.6,0.0,57500.0,72.2,65.4,5.6,7.7,16.7,15.4,5.6,11.5,Online
Juno College of Technology,Toronto,Data Analytics Bootcamp,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7/1/2021,12/31/2021,77.0,26,100.0,96.3,26.9,57.7,7.7,11.5,65.4,30.8,70000.0,67500.0,42.9,53.3,28.6,26.7,0.0,6.7,28.6,13.3,Canada
