school_name,program_name,java,csharp_net,html,css,javascript,es6,jquery,nodejs,reactjs,redux,heroku,sql,mysql,postgress,mongodb,firebase,git,spring,api,applied_stats,python,r,regression,classification,clustering,time_series_analysis,anomaly_detection,language_processing,machine_learning,advanced_topics,story_telling_with_data,domain_expertise_development,employed_infield_180days,median_annual_salary180days,Skill_Set,skill_group,cluster_skills
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6,65000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Code Chrysalis,The Immersive Bootcamp,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,42382.0,"['html', 'css', 'javascript', 'nodejs', 'reactjs', 'sql', 'git', 'api']",L,2
Codeup,Full-Stack Web Development,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,55750.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Codeup,Full-Stack Web Development-Java,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,50000.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5,60000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Codeup,Full-Stack Web Development,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.4,53500.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Code Platoon,Full-Stack Web Development,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,82500.0,"['html', 'css', 'javascript', 'reactjs', 'sql', 'postgress', 'git', 'python']",E,2
Launch Academy,Fundamentals of Web Development,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,70000.0,"['javascript', 'nodejs', 'reactjs', 'heroku', 'sql', 'postgress', 'git', 'api']",M,2
Codeup,Data Science BootCamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,86.1,65000.0,"['sql', 'applied_stats', 'python', 'regression', 'classification', 'clustering', 'time_series_analysis', 'anomaly_detection', 'language_processing', 'machine_learning', 'advanced_topics', 'story_telling_with_data', 'domain_expertise_development']",G,4
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,65000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Codesmith,Full-Stack Web Development,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.3,130000.0,"['es6', 'nodejs', 'reactjs', 'redux', 'postgress', 'mongodb']",H,1
Turing School of Software and Design,Back End Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,86500.0,[],C,0
Codesmith,Full-Stack Web Development,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5,140000.0,"['es6', 'nodejs', 'reactjs', 'redux', 'postgress', 'mongodb']",H,1
The Tech Academy,Python Developer BootCamp,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8,52000.0,"['html', 'css', 'javascript', 'sql', 'python']",A,0
The Tech Academy,C# and .NET Boot Camp,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6,55000.0,"['csharp_net', 'html', 'css', 'sql']",N,0
